Wavelength,I,Calibrated
,,
376.455,0.016927,0.002350494615204424
376.48800000000006,0.019806,0.0027493751671912666
376.52,0.022561,0.0031311340969392963
376.55300000000005,0.023281,0.0032321649867641028
376.585,0.027537,0.0038252587098041115
376.61800000000005,0.023393,0.0032520424324837026
376.65,0.020038,0.0027875380760421817
376.68300000000005,0.019518,0.002716270430239496
376.716,0.010069,0.0014015190511223704
376.74800000000005,0.016662,0.002320361561514476
376.781,0.020399,0.002842472846829691
376.81300000000005,0.025833,0.003600671794180274
376.846,0.028745,0.004007438797819879
376.87800000000004,0.024853999999999998,0.0034662480247338932
376.911,0.032674,0.004558531543586353
376.94300000000004,0.028363,0.003959902941024671
376.976,0.027636,0.003861933019093445
377.00800000000004,0.030661,0.004289184080554509
377.041,0.032989,0.004621668159763877
377.074,0.032425999999999996,0.004551347336207528
377.106,0.031455000000000004,0.004424379349870259
377.139,0.035555,0.005013143970461394
377.171,0.035713,0.00504682524216978
377.204,0.036883,0.005222220272836422
377.236,0.040999,0.005812159356399383
377.269,0.048588,0.006891351951256779
377.301,0.050571,0.007173809793731466
377.334,0.047802,0.0067820783352474465
377.366,0.049257999999999996,0.006988244561254593
377.399,0.047652999999999994,0.006758544659439976
377.43199999999996,0.04306,0.006102058251782493
377.464,0.051438,0.007280867309079262
377.49699999999996,0.050657,0.00716277385579312
377.529,0.039245999999999996,0.005546617634708438
377.56199999999995,0.038321,0.00541656265615172
377.594,0.046661,0.006599794545835771
377.62699999999995,0.069381,0.009822240793460958
377.659,0.063825,0.009038677915233098
377.69199999999995,0.05563099999999999,0.007876995544316744
377.724,0.052261,0.0073961941776806315
377.75699999999995,0.065661,0.009285573509051067
377.789,0.069951,0.009885620556226101
377.82199999999995,0.06904500000000001,0.009753641147311889
377.855,0.077266,0.010908074668756255
377.88699999999994,0.082053,0.011571094178520484
377.92,0.08415399999999999,0.01185056481671433
377.952,0.084472,0.011879675595352525
377.985,0.088272,0.012403611314629245
378.017,0.086809,0.012190530158913929
378.05,0.08759199999999999,0.01229393467680763
378.082,0.084488,0.011853534469680821
378.115,0.093028,0.01304852960026522
378.147,0.09156900000000001,0.012839294307782498
378.18,0.097976,0.013730150801738557
378.212,0.10485699999999999,0.014683999149081393
378.245,0.10164,0.014219843212926792
378.277,0.10565999999999999,0.014769280426201915
378.31,0.122057,0.017054212341528326
378.343,0.11161900000000001,0.015593701352597371
378.375,0.115006,0.016066040121995334
378.408,0.122223,0.01708123974836722
378.44,0.132208,0.01848761730916246
378.473,0.134527,0.01882992734894422
378.505,0.141399,0.019817814092174292
378.538,0.153606,0.021570962257757467
378.57,0.157781,0.02220356193983667
378.603,0.160669,0.022654228378910284
378.635,0.158703,0.0224130075998525
378.668,0.16028299999999998,0.02266251756095551
378.7,0.169428,0.023972153836425557
378.733,0.166259,0.02353952494610214
378.765,0.178277,0.025258731332801907
378.798,0.192193,0.027243949551845427
378.83,0.18925699999999998,0.02684567791554577
378.86300000000006,0.188067,0.026710217042180684
378.895,0.203009,0.028880227991967752
378.92800000000005,0.215521,0.03071059180396706
378.96,0.213696,0.030497428288695675
378.99300000000005,0.21609099999999998,0.030889992004062526
379.025,0.22474899999999998,0.03218305544104113
379.05800000000005,0.232265,0.03332785333774079
379.09,0.238515,0.03434452174448273
379.12300000000005,0.256119,0.03696037973866117
379.155,0.265611,0.038333291104617855
379.18800000000005,0.27672399999999997,0.03985697997534707
379.22,0.283837,0.04078655971363671
379.25300000000004,0.28010799999999997,0.04016679395470196
379.286,0.27953,0.040021890086267276
379.31800000000004,0.282918,0.04048633703480375
379.351,0.29585,0.04231094773409874
379.38300000000004,0.308948,0.04415091888822184
379.416,0.298944,0.04269591632087568
379.44800000000004,0.307249,0.04386613892300511
379.481,0.327353,0.04673200779320312
379.51300000000003,0.330968,0.047251120141009996
379.546,0.344112,0.04911034546522892
379.57800000000003,0.348667,0.049712684714835656
379.611,0.346396,0.04927651038335114
379.64300000000003,0.36030500000000004,0.05105372136715286
379.676,0.369139,0.0520342384716296
379.708,0.37735799999999997,0.05286794756717377
379.741,0.370525,0.05152067228642865
379.773,0.37006100000000003,0.0510727313822858
379.806,0.37233099999999997,0.05103801113476354
379.838,0.381293,0.05197561755007112
379.871,0.388418,0.05272906253027544
379.903,0.396376,0.05362486982874654
379.936,0.388351,0.05234974785834501
379.968,0.409148,0.05497034393507169
380.001,0.42227299999999995,0.05657576794734719
380.033,0.454561,0.06077471117978104
380.066,0.476268,0.0635866948944094
380.098,0.49106099999999997,0.06548887190114827
380.131,0.49937299999999996,0.06649761441828725
380.163,0.5303100000000001,0.07048962870764552
380.19599999999997,0.5975020000000001,0.07925112680691708
380.228,0.64328,0.08515649309055702
380.26099999999997,0.688723,0.09104526059434069
380.293,0.739116,0.09761405810292809
380.32599999999996,0.782051,0.10318425779657858
380.358,0.789218,0.10400591324021893
380.39,0.764472,0.10064143925026006
380.423,0.754699,0.09929110876892161
380.455,0.691315,0.09092448216892206
380.48800000000006,0.60316,0.07933996012040873
380.52,0.527046,0.06936601242828559
380.55300000000005,0.41981599999999997,0.05528596043387766
380.585,0.354918,0.046743038512739435
380.61800000000005,0.297296,0.03912680876032471
380.65,0.24568099999999998,0.03228273262801706
380.68300000000005,0.21055900000000002,0.027608417473462505
380.715,0.191504,0.025050530904090134
380.74800000000005,0.171562,0.022384876861553833
380.78,0.14795,0.019257219390658796
380.81300000000005,0.133327,0.017317303380786693
380.845,0.142275,0.018450434351219427
380.87800000000004,0.13594900000000001,0.017611085807216015
380.91,0.13185999999999998,0.017074827297341076
380.94300000000004,0.135689,0.017570575910292336
380.975,0.134245,0.017387478860285327
381.00800000000004,0.131081,0.0169832181607491
381.04,0.134487,0.017427114322126642
381.07300000000004,0.12791,0.016573067829914703
381.105,0.131365,0.017009267578548856
381.13800000000003,0.13392,0.017312340683500703
381.17,0.131192,0.01692597951542482
381.20300000000003,0.13375599999999999,0.01722640499776151
381.235,0.13182,0.016954392288548028
381.267,0.132872,0.017068885897194408
381.3,0.125383,0.0160870283393862
381.332,0.131868,0.01690128206687865
381.365,0.142112,0.01819780888747371
381.397,0.150634,0.0192777714720313
381.43,0.147542,0.018873524908755785
381.462,0.145491,0.018601064561390313
381.495,0.141708,0.018102415014680788
381.527,0.14521099999999998,0.018532891443908288
381.56,0.151381,0.019295457336799906
381.592,0.14651,0.018643192671388118
381.625,0.15267,0.01938844126213308
381.657,0.16283399999999998,0.020646217490288735
381.69,0.157353,0.019933553644397608
381.722,0.155788,0.019728712878223052
381.755,0.15384,0.019481364281121516
381.787,0.152719,0.019346934136258646
381.819,0.150151,0.01903350595935656
381.852,0.153386,0.019458335817306136
381.884,0.16386900000000001,0.02080533072197194
381.917,0.165975,0.021098396462265565
381.949,0.176143,0.02242711380703445
381.98199999999997,0.180778,0.023054872634304717
